,Questions,Correct,A,B,C,D
36,"This method uses books for predicting ones future. The person should take a book, open to a random page and read a passage. Then he should interpret it.
",Bibliomancy,Geomancy,Bibliomancy,Hydromancy,Chiromancy
37,"This way of divination uses onion sprouts. First a ritual is held in order to state what the divination is about. Then the onion sprouts are put on an altar. It is thought that onion sprouts can tell you about friends and relatives who are far away, give love advice and answer yes or no questions about the future.
",Cromniomancy,Cromniomancy,Crystallomancy,Chirognomy,Cyclomancy
38,"This method uses birds to predict the future. The divinator scatters grains and then he carefully observes the way the birds peck at the grain.
",Alectryomancy,Austromancy,Captopromancy,Botanomancy,Alectryomancy
39,"In ancient times people thought that illnesses were caused by demons, possessing the soul of a person. So they cured those illnesses with exorcism. Exorcism is derived from the Greek word  exorkizein. What does this word mean?
",To bind by oath,To kill the soul,To kill the ghost,To expel the demon,To bind by oath
40,"Ancient Babylonian priests were one of the first exorcists. They meant to destroy the evil spirit, possessing the victim, by performing this ritual.
",They destroyed a wax or clay image of a demon.,They killed the possessed person by stabbing them with a sacrificial knife.,They destroyed a wax or clay image of a demon.,They drew mighty symbols on the forehead of the victim.,They drilled a hole in the skull of the possessed.
41,"Exorcism is not popular among religions nowadays.
",False,False,True,,
42,"Jesus Christ is considered to be an exorcist. One of the legends tells of Jesus casting out multiple demons from a madman. The spirits then entered the bodies of some animals. What kind of animals were they?
",Pigs,Vultures,Pigs,Crows,Cows
43,"Jesus Christ gave the power to exorcise demons to his disciples.
",True,True,False,,
44,"In Judaism the evil spirit that possesses the soul of its victim is called dybbuk. It is exorcised through this part of the body.
",Small toe,Mouth,Chest,Small toe,Left Arm
45,"The exorcist must feel as free of sin as possible. Why?
",So demons cannot easily possess the exorcist,So the exorcist does not die,So the exorcist can easily absorb the demons,So demons cannot easily possess the exorcist,So the possessed victim does not die
46,"Exorcism is related to ASC. What does ASC stand for?
",Altered State Of Consciousness,Affecting Spirit of Cataclysm,Affected Soul by Craziness,Affected Soul by Cabala,Altered State Of Consciousness
47,"During Christian exorcism, the victim is to hold a crucifix and the exorcist is encouraged to use holy water and relics. These  two other objects should also be present.
",Salt and Wine,Skull and Bones,Salt and Wine,Feather and Ink-pot,Sword and Shield
48,"Although all exorcisms proceed differently, some stages are common. There are five common stages - The Presence, Break-point, The Voice, The Clash and this.
",Expulsion,Expatriation,Expulsion,Deportation,Redemption
49,"Adam was the first human made by God according to the Bible texts.
",True,True,False,,
50,"The Ten Commandments can be found in the book of Exodus, New Testament.
",False,True,False,,
51,"According to the Bible, Gods laws were given to Moses on Mount Rushmore.
",False,True,False,,
52,"Moses talked to God on the mountain and received the Ten Commandments in 40 days.
",True,False,True,,
53,"Moses broke the tablets on which the Ten Commandments were written when he slipped on the rocky mountainside.
",False,True,False,,
54,"According to the Bible texts, Jesus earthly father Joseph was sheep herder.
",False,False,True,,
55,"In the Bible texts, “Am I my brother’s keeper?” was a question asked by Cain to God.
",True,True,False,,
56,"This line from the Bible is from an address by God to Noah: “And the bow shall be in the cloud and I will look upon it that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth.”
",True,False,True,,
57,"According to the Bible, Judas Iscariot was paid 30 pieces of gold to betray Jesus.
",False,True,False,,
58,"In Genesis, we can read that Joseph was sold into slavery by his brothers.
",True,False,True,,
59,"The magic wand is a must have accessory of every witch, if she wants to work wonders. What is the wand is made of?
",Hazel,Glass,Metal,Chestnut,Hazel
60,"Every new witch receives a special craft name, which they only disclose to coven members and keep a secret from everyone else.  Why?
",Knowing the craft name gives magical powers,It would bring ill fate upon the person,It would take away the magical powers of the coven,It would kill the person who knows the secret name,Knowing the craft name gives magical powers
61,"Incense is often used in witchcraft.  What is the meaning of jasmine scented incense?
",Luck in love,To ease hurt caused by love,Luck in love,True love,Intense desire
62,"This is one of the most widely used religious symbols. It is generally used for protection. Even though it is often associated with witchcraft, it was also used in Christianity, symbolizing the five wounds of Christ.
",Pentagram,Hazel,Sword,Pentagram,Chalice
63,"This is when the spell casting powers are at their fullest.  It is the hour of midnight on a full moon.
",The Witching Hour,The Midnight Hour,The Power Hour,The Witching Hour,The Moon Hour
64,"It is  the magical power of this herb: In the event of some kind of troublesome misfortune, gather the root with care during the descent of the lions cub and hang it around your neck.  It will drive away cares and cause a merry heart. - Syrenius (1540 - 1611).
",Angelica,Wormwood,Barberry,Betony,Angelica
65,"An ancient tradition was to distinguish witches by their color. There were white, red, green, etc. witches. The tradition doesnt exist any more but the meaning of the colors is still applied in various practices. What is the color for these magical uses: divination, spirituality, protection, psychic powers, healing, truth, peace?
",White,Green,Pink,White,Yellow
66,"When you collect flowers or herbs for magical purposes you should have in mind the hour at which you gather them. What are the magical hours?
","3, 6, 9 and 12","3, 6, 9 and 12","4, 6, 8 and 11","1, 7, 9 and 11","1, 4, 5 and 10"
67,"This ancient pagan ritual was practiced in Scotland until the end of the 19th century. It allows a couple to make a commitment to each other within their own spiritual path. This commitment lasts for one year and a day. After that the couple can go their own way or renew their bond.
",Handfasting,Handfasting,Faerie,Anam cara,A prayer of passage
68,"What is this spell used for?  Dear Father, tsar fire, be gentle and kind to me.  Burn away all my aches  pains, tears  worries.
",Happiness,Love,Happiness,Wealth,Faith
69,"Every Catholic can receive any of the seven sacraments, but no one can receive all seven.
",False,False,True,,
70,"What is the Catholic term describing a place of purification after bodily death, but before the soul enters heaven?
",purgatory,apocalypse,limbo,purgatory,apocrypha
71,"This part of the Catholic mass, in which the priest asks God to change the bread and wine into Jesus body and blood, is called what?
",consecration,invocation,consecration,offertory,communion
72,"The Hail Mary is a biblical prayer.
",True,True,False,,
73,"What was the church council that revised the prayers used in the Catholic mass and authorized masses to be said in the language of the local people?
",Vatican II,Nicea,Vatican II,Vatican I,Trent
74,"A schism in the Christian church culminated in two bishops excommunicating each other in 1054, resulting in what?
",the division between Catholicism and Orthodoxy,the division between Catholicism and Orthodoxy,the Protestant Reformation,the ecumenical movement,the Crusades
75,"There are ten holy days of obligation, days other than Sunday on which all the worlds Catholics are required to attend mass.
",False,False,True,,
76,"What is the Catholic term for a person who, after death, goes to heaven?
",saint,saint,cherub,seraph,angel
77,"What does the Catholic church teach about Mary, Jesus mother?
",She was a virgin until her death.,"She was a virgin when Jesus was born, but not necessarily after.",Joseph divorced her quietly after Jesus was born.,"She was a virgin when Jesus was conceived, but not necessarily after.",She was a virgin until her death.
78,"According to the Bibles description of the creation of the world, on what day of the week were the sun, moon, and stars formed?
",Fourth,Second,Third,Fifth,Fourth
79,"According to the Bible, Sarah and Abraham have a common relative by blood.
",True,False,True,,
80,"Who begged for the body of Jesus to give it a proper burial?
",Joseph of Arimathaea,Joseph of Arimathaea,Peter,Mark,Matthew
81,"What scripture of the King James Bible is most noted for the story of the birth of Jesus?
","Luke, Chapter 2","Luke, Chapter 1","Luke, Chapter 3","Luke, Chapter 2","Matthew, Chapter 2"
82,"According to the biblical texts, whom do these words belong to: Thou shalt have no other gods before me!?
",God,Moses,Aaron,Miriam,God
83,"The first of the 10 commandments that also contains a promise was Honor thy Father and Mother.
",True,True,False,,
84,"Who was Ruths mother-in-law according to biblical texts?
",Naomi,Mara,Naomi,Orpah,Boaz
85,"According to the Bible, Ruth was the great grandmother of David.
",True,False,True,,
86,"Who wrote Epistle to the Romans, included in the New Testament canon of the Christian Bible?
",Paul,Peter,Paul,Mark,Luke
87,"According to Christian beliefs, what was the nature of the first sin man ever committed?
",Disobedience,Greed,Murder,Disobedience,Blasphemy
88,"According to the Bibles interpretation of Moses life, who ran along the bank to make sure that Moses was alright in his basket after he was set adrift on the Nile river?
",His sister,His brother,His mother,His sister,His father
89,"According to the Bible, did the Pharaoh’s wife find little Moses who was drifting along the Nile in a basket.
",No,No,Yes,,
90,"What does the name Moses mean according to the Biblical texts?
",Drawn out,Found,Child of the river,Conceived by a Hebrew,Drawn out
91,"What was the name of Mosess brother according to the Bible?
",Aaron,Clive,Aaron,Peter,John
92,"According to Exodus, what was the ninth plague that God inflicted on Egypt in order to convince Pharaoh to let the Israelite slaves leave?
",Darkness,Death of First Born Child,Lice,Darkness,Frogs
93,"Why did Moses have to flee out of Egypt and settle on the Sinai Peninsula according to the Bible?
",He killed an Egyptian,He killed an Egyptian,He was banned for disrespectable behaviour towards the Pharaoh.,None of these,He killed the Pharaoh
94,"According to the last chapters of Exodus, what was the Tabernacle, which was built after the Israelites passed safely the Red Sea with Gods help?
",A portable place of worship,A vehicle with a prayer altar,A portable prayer altar,A portable place of worship,A portable irrigating system
95,"Who is the second oldest living man according to the Bible?
",Jared,Enoch,Mahalalel,Jared,Methuselah
96,"What is the name of the only Archangel mentioned in the Bible?
",Michael,Lucifer,Jesus,Michael,Gabriel
97,"Who was emperor of Rome at the time of Jesus death?
",Tiberius,Augustus,Tiberius,Caligula,Claudius
98,"King Solomon had 300 wives and 700 concubines.
",False,False,True,,
99,"This tradition was founded in England in the 1960s by Alex Sanders, who referred to himself as the King of his Witches.
",Alexandrian,Strega,Gardnerian,Celtic,Alexandrian
100,"Caledonii tradition comes from this country.
",Scotland,France,Italy,England,Scotland
101,"This system is indigenous to South Central Pennsylvania, USA.
",Pow-Wow,Strega,Satanic,Pow-Wow,Seax-Wica
102,"This tradition was founded by Raymond Buckland in 1973.
",Seax-Wica,Seax-Wica,Dianic,Teutonic,Hereditary
103,"This tradtion is also know as the Nordic tradition.
",Teutonic,Eclectic,British Traditional Witch,Pictish,Teutonic
104,"The International Red Garters are an organization of British traditional witches.
",True,False,True,,
105,"If I practice the Craft by myself,  not as part of a coven, I am said to be this.
",Solitary,Strega,Solitary,Alexandrian,Pictish
106,"An eclectic witch strictly follows his or her chosen tradition.
",False,True,False,,
107,"Voodoo is actually a religion, which originated in Africa. Voodoo comes from the West African word vodun. What does vodun mean?
",Spirit,Revenge,Spirit,Doll,Death
108,"The structure of Voodoo, as we know it today, was developed after the Europeans started slavery. Where was Voodoo born?
",Haiti,Jamaica,Hawaii,Taiti,Haiti
109,"Voodoo rituals include animal sacrifice.
",True,True,False,,
110,"The French rulers persecuted Voodoo priests and practitioners. In 1791 a revolution exploded, which was led by the Voodoo priests. It ended in the year of Napoleons crowning.
",1804,1784,1804,1754,1854
111,"The high Voodoo priest and priestess are often called this.
",Papa and Maman,Papa and Maman,Supreme Magicians,Son and Daughter of the Serpent,Dad and Mum
112,"Voodoo Dancing is just a prelude to sexual frenzy.
",False,True,False,,
113,"In Voodoo, God is considered to be too distant for people to communicate with. Therefore, Voodoo priests communicate with God through Loa. What is Loa?
",The spirits,The spirits,The dolls,The drums,The demons
114,"Voodoo dolls are commonly used for voodoo.
",False,False,True,,
115,"Voodoos equivalent in Cuba is Santeria. Do you know which the equivalent of Voodoo in Brazil is?
",Macumba,Maabaa,Mooboo,Macumba,Mojo
116,"Nowadays Voodoo is no longer a religion.
",False,True,False,,
117,"How is New Year referred to in Judaism?
",Rosh Hashannah,Tzom Gedalia,Rosh Hashannah,Yom KIppur,Shabbat
118,"At Passover, Jews eat a special meal done in a special order.  What is that meal called?
",A seder,A festavus for the rest of us,A seder,A Shidduch,A circumcision
119,"What is the traditional Jewish prayer book called?
",Siddur,Siddur,Seder,The United Psalmistry,Shofar
120,"How many letters are in the hebrew alphabet?
",22,24,22,25,20
121,"How many vowels are in the Hebrew alphabet ?
",0,8,0,5,6
122,"We consider there to be three Patriarchs in Judaism. Who were they?
","Abraham, Issac, Jacob","Moses, David, Abraham","Abraham, David, Moses","Abraham, Issac, Jacob","David, Joshua, Solomon"
123,"In Judaism, who was Joshuas father?
",Nun,Abraham,Solomon,Nun,Moses
124,"On the first day of which month do Jews celebrate New Year?
",Tishrei,Cheshvan,Adar,Tishrei,Av
125,"Which Hebrew phrase is most commonly associated with the English expression Good Luck and/or Congratulations?
",Mazel Tov,Laych lGehinnom,Hayem Yankel,Oy Vey,Mazel Tov
126,"Who was the Baal Shem Tov ?
",The founder of Chassidism,The founder of the Bnai Brith,The first Premier of  Israel,The founder of Chassidism,The first President of Israel
127,"According to the second half of the Acts of the Apostles, what was Pauls name before God changed it?
",Saul,Peter,Luke,Saul,John
128,"The second chapter of the Gospel of Luke, Luke 2, tells us the story of Christs birth.
",True,True,False,,
129,"In the Old Testament, a man is said to have lived to be 969 years old.
",True,False,True,,
130,"There is a man in the Bible named Rehoboam who had 88 children.
",True,False,True,,
131,"There was an army mentioned in the Old Testament that consisted of men who were all left-handed and numbered 700.
",True,False,True,,
132,"Does the Bible ever speak of the sun moving backwards?
",Yes,No,Yes,,
133,"Which line gives the correct order of the first 5 books of the Old Testament?
","Genesis, Exodus, Leviticus, Numbers, Deuteronomy","Genesis, Leviticus, Numbers, Deuteronomy, Exodus","Genesis, Exodus, Numbers, Deuteronomy, Leviticus","Genesis, Exodus, Leviticus, Deuteronomy, Numbers","Genesis, Exodus, Leviticus, Numbers, Deuteronomy"
134,"What tribe of Israel was Moses born into?
",Levite,Reubon,Benjamin,Jacob,Levite
135,"Eye of newt and toe of frog
",ol of bat and tongue of dog , one of the most famous spells in English literature. In what Shakespeare play do the three witches cast their evil spells?,Macbeth,The Tempest,Hamlet
136,"She held me spellbound in the night
",ncing shadows and firelight,azy laughter in another room ,d she drove herself to madness,th a silver spoon.,at group sings about a Witchy Woman with the moon in her eyes?
137,"Do you think God knew what He was doing when he created woman? Or do you think it was another one of his minor mistakes like tidal waves, earthquakes or FLOODS!, asked Daryl Van Horne in The Witches of Eastwick. What actor played Daryl Van Horne, just your average horny little devil?
",Jack Nicholson,Dennis Hopper,Harvey Keitel,Christopher Walken,Jack Nicholson
138,"Ding dong the witch is dead.
",ich old witch?,e wicked witch.,l you could see under the house was two shrivelled up legs and a pair of ruby slippers. Which wicked witchs demise brought forth such joy to the citizens of Oz in the book The Wizard of Oz?,The Wicked Witch of the East,The Wicked Witch of the West
139,"The movie An American Haunting was based on one of the most famous hauntings in American folklore. A Tennessee farmer shot at a strange animal with the body of a dog and the head of a rabbit.  What name was given to the entity that haunted the family and was said to have murdered the Tennessee farmer?
",The Bell Witch,The Blair Witch,The White Witch,Mother Shipton,The Bell Witch
140,"The works of this Jewish thinker formed the basis of the writings of Thomas Aquinas.
",Maimonides,Rashi,Bal Shem Tov,Maimonides,Ibn Gabriol
141,"What is prayer shawl worn by Jews in the morning Jewish services, during the Torah service, on Yom Kippur, and other holidays called?
",A tallit,A kippah,A mohel,A mezzuzah,A tallit
142,"Even when Jewish men are not reading Torah, they wear a garment with fringes with knots. It is worn under the shirt with the fringes exposed. What is this garment called ?
",Tallit katan,Yarmulka,Tephilin,Tallit katan,Kippah
143,"The night before Yom Kippur, called this,  is the most important night service in Judaism.
",Kol Nidre,Rosh Hashannah,Musaff,Shabbat  HaGadol,Kol Nidre
144,"The most important prayer in Judaism is called the Shema. What does it affirm?
",Our faith that there is one and only God.,That we will not be moved,Our faith that there is one and only God.,That everyday problems will eventually solve if we have faith,We thank God for delivering us from at least some of our problems
145,"What is the first letter of the Hebrew alphabet?
",Aleph,Dalet,Gimmel,Bet,Aleph
146,"What do Jews do when the case which houses the Torah is opened?
",Stand up,Become quiet,Close eyes,Bow heads,Stand up
147,"On the Holy Day of Yom Kippur, Jews ask that all their sins be forgiven.
",True,True,False,,
148,"On which Holy Day do Jews feast on unleavened bread?
",Passover,Rosh Hashannah,Channukah,Passover,Yom Kippur
149,"There are two ways to pronounce Hebrew words. One is called Ashkanazi and the other one, this
",Sephardic,Galut,Asian,Sawphateet,Sephardic
150,"These fundamental statements have led to the formulation of the Buddhist philosophy, and contain the basic principles of the spiritual teacher, Buddha.
",The Four Noble Truths,The Seven Articles of Faith,The Three Scrolls,The Ten Paths,The Four Noble Truths
151,"What is the central theme of the teachings of religious teacher Buddha and of Buddhist philosophy as a whole?
",Suffering,Happiness,Achieving perfection,Achieving unity with nature,Suffering
152,"What was the birth name of the historic figure known as Buddha, the founder of the Buddhist religion?
",Siddhartha Gautama,Siddhartha Gautama,Jakili Saruputa,Elkini Baros,Malik Mohammed
153,"What is the formula to end or reduce suffering according to the principles of Buddhism?
",The Noble Eightfold Path,The Ten Righteous Practices,Deep Meditation,The Noble Eightfold Path,The Six Cures
154,"After completing his religious reawakening, Buddha considered himself to be which of these?
","a man, who woke up to the nature of reality","a man, who woke up to the nature of reality",a god,"a prophet, sent by a supreme being to deliver the universal truth",pure spiritual energy
155,"The beginning of the Buddhist religion can be traced back to the fifth century BC in which country?
",India,China,Thailand,India,Pakistan
156,"What is the Japanese variation of Buddhism, that emphasizes on the role of sitting meditation in pursuing enlightenment?
",Zen,Mahayana,Thervada,Zen,Tantric
157,"What is the definition of Zen Koan, one of the important aspects of Buddhist religious practices?
","A question, meant to challenge rational thinking","A question, meant to challenge rational thinking",A clan of spiritual leaders in the Zen Buddhist religious community,"A sitting pillow, used during mediation",An robe worn by Zen Buddhist monks
158,"Creating complex, radial, and symbolic sand paintings is a practice typical for which branch of Buddhism?
",Tibetan Buddhism,Theravadic Buddhism,Tibetan Buddhism,Nichiren Buddhism,Zen Buddhism
159,"Which of the following statements best describes the essence of Buddhism?
",It is a means for people to save themselves.,It is a means for people to save themselves.,"It is the legacy of a prophet, sent to earth with a message of universal love.",It is a religion that seeks to attract and convert others.,It is a tradition aimed at spreading peace in the world.
160,"Son of a Jewish immigrant from Breslau, Prussia, Lucius Nathan Littauer was born in Gloversville, Upstate New York, in 1859. Being a politician wasnt his only occupation; what is Lucius Littauers other achievement with which he remained in history?
",The first Jewish football coach at Harvard,The first Jewish  basketball coach in Oxford,The first professional Jewish baseball player,The first Jewish football coach at Harvard,The first Jewish professional football coach
161,"Julius Vogel, a London born Jew, who first became involved in politics in 1862, was the first Jew to be on this political post.
",Prime Minister of New Zealand,Prime Minister of Australia,Prime Minister of Canada,Prime Minister of New Zealand,Governor General of Canada
162,"During the 1968 presidential campaign, Rabbi Baruch Korff developed a personal relationship with this American president, who even referred to Korff as My Rabbi.
",Richard Nixon,Gerald Ford,Lyndon Johnson,Richard Nixon,Jimmy Carter
163,"In 1927 Charles A. Levine was the first Jew to do what?
",Fly the Atlantic,Fly the Atlantic,Fly a USAF fighter,Get a degree in aerospace engineering,Build a monoplane
164,"In what business did John M. Brunswick and his two half brothers, David and Emmanuel, make their fortune?
",Billiard table business,Entertaining industry,Aircraft industry,Billiard table business,Cell phone business
165,"The music for Somewhere Over the Rainbow, one of the most famous and beloved songs of the late 1930s, was based on a Jewish Cantorial theme.
",True,True,False,,
166,"Isachar Zacharie, an English born Jew, who was related to important American politicians, worked as what?
",Lincolns podiatrist,Lincolns podiatrist,Al Gores press secretary,The first Jewish Prime Minister,Washingtons lawyer in Virginia
167,"Why was Rabbi David Einhorn, a German rabbi and later leader of the Jewish reform movement in the United States, forced to leave Baltimore in 1861, during the Civil War?
",He preached against slavery,He expressed too radical views,"He insulted the Governor of Maryland,Thomas Hicks","He insulted the Mayor of Baltimore, George Williams",He preached against slavery
168,"A famous and talented composer was almost bankrupt when he wrote one of his best-known works, Judas Maccabaeus - an oratorio based on a Jewish theme. Who was this classical composer?
",Handel,Hayden,Handel,Chopin,Mozart
169,"Marty Glickman and Sam Stoller were great 100-yard runners in the 1930s. They were to be on the 4x100 meter relay race team for the USA in the 1936 Olympics, but eventually did not take part in the race. What was the reason?
",Hitler demanded their exclusion,They were late to the field,They refused to run on Saturday (Shabbos),They were caught using steroids,Hitler demanded their exclusion
170,"Bodhisattva is consciously seeking what?
",Enlightenment,Tranquility,Enlightenment,Thangka,Buddha
171,"What is Dharma?
",The cosmic principles of existence,The cosmic principles of existence,The Hindu Goddess of happiness,The extinction of desire and individual consciousness,Same as Adharma
172,"Buddhist believe that this depends on the actions that we have taken in the past.
",Our births,Our Nirvana,Our happiness,Our births,Our Karma
173,"In Buddhism the cycle of rebirths is known as what?
",Samsara,Bodhi,Dharma,Samsara,Thangka
174,"Which saint is known as the patron of children?
",Nicholas,Anthony,Nicholas,Barbara,Martha
175,"Who is known as the patron of India?
",Francis Xavier,Francis Xavier,John the Divine,Giles,Catherine
176,"St. Benedict is known as the patron of which of these groups of people?
",Monks,Monks,Librarians,Musicians,Fishermen
177,"Who was the first Italian-American woman to be canonized as a saint of the Catholic Church?
",Frances Cabrini,Mother Catherine,Dorothea of the Angels,Frances Cabrini,Agnes of God
178,"Which saint is referred to as the patron of fishermen?
",Andrew the Apostle,Andrew the Apostle,Raphael the Archangel,Jerome,Sebastian
179,"Which  saint is most often invoked for the recovery of a lost object?
",Anthony,Josephine,Rebecca,Anthony,Jude
180,"Who used to be the patron saint of travelers?
",St. Christopher,St. Michael,St. Christopher,St. Theresa,St. Andrew
181,"Which saint is the patron of all animals and living creatures?
",Francsis of Asissi,Francsis of Asissi,Francis de Salles,Francis of Rome,Francis Xavier
182,"Who is the patron saint of writers and librarians?
",Jerome,Jerome,Thomas Aquinas,Gregory,Edward the Confessor
183,"To which saint does one pray for healthy eyes?
","St. Lucy, Virgin",St. Mary of Naples,"St. Lucy, Virgin",St. Frances of the Holy Redeemer,St. Anne
184,"What is the Hindu Trinity?
","Vishnu, Brahma, Shiva","Shiva, Brahma, Krishna","Shiva, Lakshmi, Ganesh","Vishnu, Brahma, Shiva","Buddha, Brahma, Ganesh"
185,"Hinduism is a monotheistic religion.
",False,True,False,,
186,"What is the most sacred river for Hindus?
",Gange,Jamuna,Gange,Siddharta,Goa
187,"How many women-followers did the Hindu deity Lord Krishna have?
",108,108,2,1,167
188,"What are the main characters of the ancient Sanskrit epic Ramayana?
",Rama and Sita,Brahma and Vishnu,Rama and Krishna,Rama and Sita,Krishna and Shiva
189,"Who is the founder of the International Society for Krishna Consciousness, known as the Hare Krishna?
",Prabhupada,Prabhupada,George Harrison,Sai Baba,Dalai Lama
190,"Lord Ganesh, one of the most worshipped divinities in Hinduism, has the head of what animal?
",elephant,cobra,lion,bear,elephant
191,"Which of these belonged to the highest-ranking Hindu caste?
",priests,widows,warriors,priests,workers
192,"Krishna is an incarnation of which Hindu god?
",Vishnu,Vishnu,Buddha,Shiva,Brahma
193,"The Swastika is a solar symbol for Hindus.
",True,False,True,,
194,"According to the Book of Esther, Esther replaced this disobedient Biblical queen.
",Queen Vashti,Queen Ruth,Queen Vashti,Queen Mary,Queen of Sheba
195,"This brave Biblical woman led the Israelites to victory in the battle against Sisera.
",Deborah,Rebecah,Leah,Sarah,Deborah
196,"According to the Bible, King David saw this beautiful woman bathing, and immediately desired her, but she was married.
",Bathsheba,Ahinoam,Abigail,Michal,Bathsheba
197,"This Biblical woman couldnt have children, but finally God granted her a son, who was to be named Samuel and become one of the Bibles most prolific prophets of all time.
",Hannah,Hannah,Abigail,Peninnah,Hagar
198,"According to the New Testament, this woman had a son called John the Baptist.
",Elizabeth,Martha,Elizabeth,Maacah,Mary
199,"According to the Book of Exodus, this brave mother hid her young baby son, Moses, in a basket along the Nile River, so that no one could kill him.
",Jochebed,Jochebed,Miriam,Martha,Zipporah
200,"This biblical heroine hid two Israelite spies in her house under stalks of flax.
",Rehab,Leah,Rehab,Naomi,Rachel
